onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.934693877551;0.29387755102;4;4;0;2;4;1.04489795918;"""4/4""";59;1;1;-1;NC;I1;lick_blues
1.25097505669;0.585714285714;4;2;0;3;1;1.11020408163;"""4/4""";61;1;0;-1;NC;I1;lick_blues
1.8612244898;0.295918367347;4;2;0;3;2;1.11020408163;"""4/4""";60;1;0;-1;NC;I1;lick_blues
2.22040816327;0.575510204082;4;2;0;4;1;1.12596371882;"""4/4""";58;1;0;-1;NC;I1;lick_blues
2.81020408163;0.414285714286;4;2;0;4;2;1.12596371882;"""4/4""";59;1;0;-1;NC;I1;lick_blues
3.29183673469;0.225510204082;4;6;1;1;1;1.08757369615;"""4/4""";55;1;0;-1;NC;I1;lick_blues
3.54285714286;0.1;4;6;1;1;2;1.08757369615;"""4/4""";53;1;0;1;G-j7;A1;lick_blues
3.66117913832;0.04589569161;4;6;1;1;3;1.08757369615;"""4/4""";51;1;0;1;G-j7;A1;lick_blues
3.71455782313;0.0568707482993;4;6;1;1;4;1.08757369615;"""4/4""";50;1;0;1;G-j7;A1;lick_blues
3.78888888889;0.115238095238;4;6;1;1;5;1.08757369615;"""4/4""";49;1;0;1;G-j7;A1;lick_blues
3.93287981859;0.055873015873;4;6;1;1;6;1.08757369615;"""4/4""";48;1;0;1;G-j7;A1;lick_blues
6.31836734694;0.359183673469;4;2;1;3;2;1.14117913832;"""4/4""";49;2;1;1;G-j7;A1;void->lick
6.70204081633;0.448979591837;4;4;1;4;1;1.11142857143;"""4/4""";50;2;0;1;G-j7;A1;void->lick
7.18367346939;0.465306122449;4;4;1;4;3;1.11142857143;"""4/4""";49;2;0;1;G-j7;A1;void->lick
7.67419501134;0.302040816327;4;4;1;4;4;1.11142857143;"""4/4""";48;2;0;1;G-j7;A1;void->lick
8.02249433107;0.483265306122;4;1;2;1;1;1.20102040816;"""4/4""";46;2;0;1;G-j7;A1;void->lick
12.4662131519;0.32798185941;4;3;3;1;1;1.21678004535;"""4/4""";49;3;1;1;G-j7;A1;void->melody
12.8163265306;0.897959183673;4;3;3;1;2;1.21678004535;"""4/4""";50;3;0;1;G-j7;A1;void->melody
13.7387755102;0.628571428571;4;2;3;2;1;1.18321995465;"""4/4""";49;3;0;1;G-j7;A1;void->melody
14.4489795918;0.29387755102;4;2;3;2;2;1.18321995465;"""4/4""";46;3;0;1;G-j7;A1;void->melody
14.887755102;0.661224489796;4;2;3;3;1;1.19183673469;"""4/4""";48;3;0;1;G-j7;A1;void->melody
15.6;0.367346938776;4;2;3;3;2;1.19183673469;"""4/4""";46;3;0;1;G-j7;A1;void->melody
16.0565986395;0.70820861678;4;3;3;4;1;1.24081632653;"""4/4""";48;3;0;1;G-j7;A1;void->melody
16.8721995465;0.296054421769;4;3;3;4;3;1.24081632653;"""4/4""";46;3;0;1;G-j7;A1;void->melody
17.3081632653;0.169387755102;4;4;4;1;1;1.21632653061;"""4/4""";48;3;0;1;G-j7;A1;void->melody
17.4816326531;0.574693877551;4;4;4;1;2;1.21632653061;"""4/4""";49;3;0;1;G-j7;A1;void->melody
18.1306122449;0.375510204082;4;4;4;1;4;1.21632653061;"""4/4""";48;3;0;1;G-j7;A1;void->melody
18.5714285714;0.865306122449;4;1;4;2;1;1.15900226757;"""4/4""";46;3;0;1;G-j7;A1;void->melody
22.5219047619;0.271383219955;4;6;5;1;4;1.18142857143;"""4/4""";45;4;1;1;G-j7;A1;void->melody
22.9021315193;0.223492063492;4;6;5;1;6;1.18142857143;"""4/4""";46;4;0;1;G-j7;A1;void->melody
23.2475283447;0.332335600907;4;4;5;2;2;1.18666666667;"""4/4""";50;4;0;1;G-j7;A1;void->melody
23.6611337868;0.236553287982;4;4;5;2;3;1.18666666667;"""4/4""";54;4;0;1;G-j7;A1;void->melody
24.0326530612;0.171428571429;4;4;5;2;4;1.18666666667;"""4/4""";57;4;0;1;G-j7;A1;void->melody
24.3925623583;0.737233560091;4;1;5;3;1;1.06725623583;"""4/4""";52;4;0;1;G-j7;A1;void->melody
27.6897959184;0.734693877551;4;3;6;2;1;1.21442176871;"""4/4""";50;5;1;1;G-j7;A1;void->melody
28.4755102041;0.310204081633;4;3;6;2;3;1.21442176871;"""4/4""";54;5;0;1;G-j7;A1;void->melody
28.8979591837;0.767346938776;4;1;6;3;1;1.17551020408;"""4/4""";48;5;0;1;G-j7;A1;void->melody
31.9316326531;0.19387755102;4;6;7;1;5;1.16886621315;"""4/4""";48;6;1;1;G-j7;A1;void->line_w
32.1459410431;0.178095238095;4;6;7;1;6;1.16886621315;"""4/4""";52;6;0;1;G-j7;A1;void->line_w
32.4165079365;0.262675736961;4;4;7;2;1;1.15088435374;"""4/4""";46;6;0;1;G-j7;A1;void->line_w
32.7102040816;0.244897959184;4;4;7;2;2;1.15088435374;"""4/4""";50;6;0;1;G-j7;A1;void->line_w
32.9795918367;0.204081632653;4;4;7;2;3;1.15088435374;"""4/4""";54;6;0;1;G-j7;A1;void->line_w
33.253877551;0.187755102041;4;4;7;2;4;1.15088435374;"""4/4""";58;6;0;1;G-j7;A1;void->line_w
33.5107482993;0.413605442177;4;10;7;3;1;1.1414739229;"""4/4""";54;6;0;1;G-j7;A1;void->line_w
34.5745124717;0.301859410431;4;10;7;3;10;1.1414739229;"""4/4""";57;7;1;1;G-j7;A1;melody
34.9714285714;0.228571428571;4;4;7;4;2;1.17551020408;"""4/4""";54;7;0;1;G-j7;A1;melody
35.2163265306;0.187755102041;4;4;7;4;3;1.17551020408;"""4/4""";55;7;0;1;G-j7;A1;melody
35.4612244898;0.236734693878;4;4;7;4;4;1.17551020408;"""4/4""";57;7;0;1;G-j7;A1;melody
35.8552380952;0.0530612244898;4;4;8;1;1;1.20741496599;"""4/4""";57;7;0;1;G-j7;A1;melody
35.912244898;0.266326530612;4;4;8;1;2;1.20741496599;"""4/4""";58;7;0;1;G-j7;A1;melody
36.3805895692;0.330884353741;4;4;8;1;3;1.20741496599;"""4/4""";52;7;0;1;G-j7;A1;melody
36.7510204082;0.277551020408;4;4;8;1;4;1.20741496599;"""4/4""";52;7;0;1;G-j7;A1;melody
38.8992290249;0.142947845805;4;6;8;3;5;1.16630385488;"""4/4""";60;8;1;1;G-j7;A1;lick_blues
